id,year,decade,century,tried,deaths,city,gadm.adm2,gadm.adm1,gadm.adm0,lon,lat,record.source
1,NA,1520,1500,1,1,NA,NA,NA,Estonia,NA,NA,Madar (1990)
2,NA,1530,1500,1,1,NA,NA,NA,Estonia,NA,NA,Madar (1990)
3,NA,1540,1500,5,5,NA,NA,NA,Estonia,NA,NA,Madar (1990)
4,NA,1580,1500,7,5,NA,NA,NA,Estonia,NA,NA,Madar (1990)
5,NA,1590,1500,11,0,NA,NA,NA,Estonia,NA,NA,Madar (1990)
6,NA,1600,1600,6,1,NA,NA,NA,Estonia,NA,NA,Madar (1990)
7,NA,1610,1600,22,18,NA,NA,NA,Estonia,NA,NA,Madar (1990)
8,NA,1620,1600,14,8,NA,NA,NA,Estonia,NA,NA,Madar (1990)
9,NA,1630,1600,25,4,NA,NA,NA,Estonia,NA,NA,Madar (1990)
10,NA,1640,1600,39,10,NA,NA,NA,Estonia,NA,NA,Madar (1990)
11,NA,1650,1600,10,1,NA,NA,NA,Estonia,NA,NA,Madar (1990)
12,NA,1660,1600,10,4,NA,NA,NA,Estonia,NA,NA,Madar (1990)
13,NA,1670,1600,8,1,NA,NA,NA,Estonia,NA,NA,Madar (1990)
14,NA,1680,1600,8,3,NA,NA,NA,Estonia,NA,NA,Madar (1990)
15,NA,1690,1600,28,3,NA,NA,NA,Estonia,NA,NA,Madar (1990)
16,NA,1700,1700,5,0,NA,NA,NA,Estonia,NA,NA,Madar (1990)
17,NA,1720,1700,5,0,NA,NA,NA,Estonia,NA,NA,Madar (1990)
18,NA,1520,1500,1,0,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
19,NA,1540,1500,8,0,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
20,NA,1550,1500,12,1,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
21,NA,1560,1500,16,4,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
22,NA,1570,1500,22,3,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
23,NA,1580,1500,15,2,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
24,NA,1590,1500,8,1,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
25,NA,1600,1600,7,2,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
26,NA,1610,1600,6,0,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
27,NA,1620,1600,22,3,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
28,NA,1630,1600,27,2,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
29,NA,1640,1600,66,11,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
30,NA,1650,1600,73,10,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
31,NA,1660,1600,87,25,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
32,NA,1670,1600,157,41,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
33,NA,1680,1600,121,9,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
34,NA,1690,1600,62,1,NA,NA,NA,Finland,NA,NA,Heikkinen and Kervinen (1990)
35,NA,1520,1500,3,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
36,NA,1530,1500,3,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
37,NA,1540,1500,3,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
38,NA,1550,1500,3,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
39,NA,1560,1500,5,4,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
40,NA,1570,1500,5,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
41,NA,1580,1500,17,11,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
42,NA,1590,1500,8,4,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
43,NA,1600,1600,12,6,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
44,NA,1610,1600,15,10,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
45,NA,1620,1600,43,14,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
46,NA,1630,1600,38,9,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
47,NA,1640,1600,51,6,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
48,NA,1650,1600,57,19,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
49,NA,1660,1600,63,15,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
50,NA,1670,1600,57,26,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
51,NA,1680,1600,45,22,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
52,NA,1690,1600,103,39,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
53,NA,1700,1700,106,46,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
54,NA,1710,1700,217,62,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
55,NA,1720,1700,227,64,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
56,NA,1730,1700,180,36,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
57,NA,1740,1700,185,51,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
58,NA,1750,1700,143,21,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
59,NA,1760,1700,47,1,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
60,NA,1770,1700,8,3,NA,NA,NA,Hungary,NA,NA,Klaniczay (1990)
61,NA,1560,1500,4,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
62,NA,1570,1500,25,3,NA,NA,NA,Norway,NA,NA,Naess (1990)
63,NA,1580,1500,17,5,NA,NA,NA,Norway,NA,NA,Naess (1990)
64,NA,1590,1500,16,7,NA,NA,NA,Norway,NA,NA,Naess (1990)
65,NA,1600,1600,21,11,NA,NA,NA,Norway,NA,NA,Naess (1990)
66,NA,1610,1600,73,33,NA,NA,NA,Norway,NA,NA,Naess (1990)
67,NA,1620,1600,134,69,NA,NA,NA,Norway,NA,NA,Naess (1990)
68,NA,1630,1600,80,31,NA,NA,NA,Norway,NA,NA,Naess (1990)
69,NA,1640,1600,97,41,NA,NA,NA,Norway,NA,NA,Naess (1990)
70,NA,1650,1600,80,26,NA,NA,NA,Norway,NA,NA,Naess (1990)
71,NA,1660,1600,157,47,NA,NA,NA,Norway,NA,NA,Naess (1990)
72,NA,1670,1600,56,5,NA,NA,NA,Norway,NA,NA,Naess (1990)
73,NA,1680,1600,64,1,NA,NA,NA,Norway,NA,NA,Naess (1990)
74,NA,1690,1600,26,1,NA,NA,NA,Norway,NA,NA,Naess (1990)
75,NA,1700,1700,2,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
76,NA,1710,1700,2,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
77,NA,1720,1700,1,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
78,NA,1730,1700,6,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
79,NA,1740,1700,1,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
80,NA,1750,1700,1,0,NA,NA,NA,Norway,NA,NA,Naess (1990)
